#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                           26                0
   7 ADD                        13514                0
  10 ADDSD                          1                0
  11 ADDSS                          2                0
  21 AND                         4140                0
  23 ANDNPD                         1                0
  24 ANDNPS                         1                0
  25 ANDPD                          3                0
  26 ANDPS                          3                0
  52 BSF                           56                0
  53 BSR                           39                0
  54 BSWAP                        155                0
  55 BT                            40                0
  58 BTS                            1                0
  61 CALL_NEAR                  11703                0
  64 CDQE                         437                0
  67 CLD                            6                0
  90 CMP                        20206                0
  99 CMPXCHG                      728                0
 104 CPUID                         42                0
 119 CVTSI2SD                       3                0
 120 CVTSI2SS                       3                0
 127 CVTTSD2SI                      1                0
 128 CVTTSS2SI                      1                0
 130 CWDE                           1                0
 133 DEC                          846                0
 134 DIV                          126                0
 137 DIVSD                          6                0
 138 DIVSS                          1                0
 141 EMMS                           2                0
 153 FCHS                          10                0
 170 FDIV                           1                0
 171 FDIVP                          2                0
 183 FILD                           3                0
 191 FLD                           87                0
 192 FLD1                           2                0
 193 FLDCW                          1                0
 194 FLDENV                         2                0
 200 FLDZ                          19                0
 201 FMUL                           6                0
 202 FMULP                          1                0
 207 FNSTCW                         1                0
 208 FNSTENV                        2                0
 216 FSCALE                         1                0
 222 FSTP                         108                0
 225 FSUBP                          3                0
 230 FUCOMI                        12                0
 231 FUCOMIP                        6                0
 236 FXCH                          27                0
 247 HLT                           21                0
 250 IDIV                          77                0
 251 IMUL                         496                0
 253 INC                          164                0
 254 INSB                           1                0
 260 INT1                           7                0
 272 JB                           651                0
 273 JBE                         1655                0
 274 JL                           225                0
 275 JLE                         1215                0
 276 JMP                        16295                0
 278 JNB                         1504                0
 279 JNBE                        1931                0
 280 JNL                          282                0
 281 JNLE                        1046                0
 283 JNP                            3                0
 284 JNS                          302                0
 285 JNZ                        11346                0
 287 JP                             8                0
 289 JS                           976                0
 290 JZ                         16705                0
 294 LDMXCSR                        2                0
 296 LEA                        15420                0
 297 LEAVE                        209                0
 311 LOOP                           1                0
 332 MOV                       107023                0
 333 MOVAPD                        31                0
 334 MOVAPS                       449                0
 336 MOVD                          35                0
 339 MOVDQA                      3967                0
 340 MOVDQU                       243                0
 342 MOVHPD                        16                0
 345 MOVLPD                        16                0
 349 MOVNTDQ                        8                0
 351 MOVNTI                        80                0
 357 MOVQ                          35                0
 359 MOVSB                          3                0
 361 MOVSD_XMM                    115                0
 365 MOVSS                         33                0
 366 MOVSW                          3                0
 367 MOVSX                        686                0
 368 MOVSXD                      2462                0
 371 MOVZX                       5182                0
 375 MUL                           62                0
 378 MULSD                         10                0
 379 MULSS                          6                0
 382 NEG                          405                0
 383 NOP                         9399                0
 392 NOT                          291                0
 393 OR                          2322                0
 394 ORPD                           2                0
